Station,PM2.5,Timestamp,Latitude,Longitude,Lines
"Platform 2 - Westbound, District/H&C Line",0.5,2024-05 to 2024-09,,,
"Platform 3 - Eastbound, District/H&C Line",0.61,2024-05 to 2024-09,,,
"Platform 4 - Eastbound, Central Line",0.52,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.27,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.06,2024-05 to 2024-09,,,
"Platform 1 - Eastbound, 
Circle/H&C/Metropolitan Line",0.13,2024-05 to 2024-09,,,
"Platform 2 - Westbound, 
Circle/H&C/Metropolitan Line",0.19,2024-05 to 2024-09,,,
"Platform 7 - Northbound, Northern Line",0.38,2024-05 to 2024-09,,,
"Platform 8 - Southbound, Northern Line",0.48,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.28,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.07,2024-05 to 2024-09,,,
"Platform 1 - Westbound, Central Line",0.79,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, Central Line",0.8,2024-05 to 2024-09,,,
"Platform 3 - Southbound, Bakerloo Line",0.96,2024-05 to 2024-09,,,
"Platform 4 - Northbound, Bakerloo Line",0.77,2024-05 to 2024-09,,,
"Platform 5 - Southbound, Victoria Line",0.99,2024-05 to 2024-09,,,
"Platform 6 - Northbound, Victoria Line",0.91,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - Main,0.12,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.08,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Bakerloo Line",0.71,2024-05 to 2024-09,,,
"Platform 4 - Southbound, Bakerloo Line",0.86,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - Bakerloo Line,0.45,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - District/Circle line,0.14,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.03,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Bakerloo Line",0.61,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Bakerloo Line",0.49,2024-05 to 2024-09,,,
"Platform 3 - Eastbound, Piccadilly Line",0.83,2024-05 to 2024-09,,,
"Platform 4 - Westbound, Piccadilly Line",0.69,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.07,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.34,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern Line",0.6,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern Line",0.95,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.34,2024-05 to 2024-09,,,
